resource_id,resource_name,resource_type,longitude,latitude,source,is_simulated
36,Simulated Fire/EMS Station 36,fire_ems,-118.5597121354482,32.84822500995906,SIMULATED_FALLBACK,1
37,Simulated Fire/EMS Station 37,fire_ems,-117.8601267647264,33.90380779249841,SIMULATED_FALLBACK,1
38,Simulated Fire/EMS Station 38,fire_ems,-118.53747977422914,34.654663626228185,SIMULATED_FALLBACK,1
39,Simulated Fire/EMS Station 39,fire_ems,-118.02052655807105,34.29779304540036,SIMULATED_FALLBACK,1
40,Simulated Fire/EMS Station 40,fire_ems,-118.64342801790687,34.42259239255096,SIMULATED_FALLBACK,1
1,Simulated Hospital 01,hospital,-118.29011266915617,33.35605257797262,SIMULATED_FALLBACK,1
2,Simulated Hospital 02,hospital,-118.6545656791858,33.75881792895031,SIMULATED_FALLBACK,1
3,Simulated Hospital 03,hospital,-118.79464668395333,32.856845796769264,SIMULATED_FALLBACK,1
4,Simulated Hospital 04,hospital,-118.68541086938514,32.90198777019705,SIMULATED_FALLBACK,1
5,Simulated Hospital 05,hospital,-117.92855480555899,33.80463583333454,SIMULATED_FALLBACK,1
6,Simulated Hospital 06,hospital,-117.98355292677955,34.34459727055904,SIMULATED_FALLBACK,1
7,Simulated Hospital 07,hospital,-118.69782723026039,33.99740149627649,SIMULATED_FALLBACK,1
8,Simulated Hospital 08,hospital,-118.06086338201912,34.057009804398,SIMULATED_FALLBACK,1
9,Simulated Hospital 09,hospital,-118.04995726571894,33.15524456613069,SIMULATED_FALLBACK,1
10,Simulated Hospital 10,hospital,-117.67724434212118,34.29506543835684,SIMULATED_FALLBACK,1
11,Simulated Hospital 11,hospital,-118.32097570637295,33.57979318041698,SIMULATED_FALLBACK,1
12,Simulated Hospital 12,hospital,-118.48311372357499,33.504554642199814,SIMULATED_FALLBACK,1
13,Simulated Hospital 13,hospital,-118.52934451646804,33.67621126074957,SIMULATED_FALLBACK,1
14,Simulated Hospital 14,hospital,-118.40580344503613,33.42563378110012,SIMULATED_FALLBACK,1
15,Simulated Hospital 15,hospital,-118.80121486602182,33.64991820432952,SIMULATED_FALLBACK,1
16,Simulated Hospital 16,hospital,-118.31678834708981,34.35678056460941,SIMULATED_FALLBACK,1
17,Simulated Hospital 17,hospital,-118.457300781518,32.853231825908246,SIMULATED_FALLBACK,1
18,Simulated Hospital 18,hospital,-118.80443515347946,33.302739997439375,SIMULATED_FALLBACK,1
19,Simulated Hospital 19,hospital,-118.35050772218655,34.32102481196624,SIMULATED_FALLBACK,1
20,Simulated Hospital 20,hospital,-118.4922064739549,33.931735747622156,SIMULATED_FALLBACK,1
21,Simulated Hospital 21,hospital,-117.99782342606217,33.04552743496684,SIMULATED_FALLBACK,1
22,Simulated Hospital 22,hospital,-117.77047049178604,33.06772021049277,SIMULATED_FALLBACK,1
23,Simulated Hospital 23,hospital,-118.90313836855384,33.23793229322225,SIMULATED_FALLBACK,1
24,Simulated Hospital 24,hospital,-118.1851044209381,34.61406642508156,SIMULATED_FALLBACK,1
25,Simulated Hospital 25,hospital,-117.87650570768021,34.454421434397965,SIMULATED_FALLBACK,1
