resource_id,resource_name,resource_type,address,city,latitude,longitude,source_agency,source_status
35,Fallback Fire/EMS Station 035,fire_ems,4723 Example Ave,Long Beach,34.260169,-117.782226,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
36,Fallback Fire/EMS Station 036,fire_ems,2442 Example Ave,Lancaster,34.274241,-118.309928,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
37,Fallback Fire/EMS Station 037,fire_ems,9903 Example Ave,Glendale,34.114424,-118.333871,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
38,Fallback Fire/EMS Station 038,fire_ems,8646 Example Ave,Lancaster,33.708846,-118.360613,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
39,Fallback Fire/EMS Station 039,fire_ems,1861 Example Ave,Los Angeles,34.221361,-117.932621,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
40,Fallback Fire/EMS Station 040,fire_ems,2178 Example Ave,Pasadena,34.534414,-118.626555,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
41,Fallback Fire/EMS Station 041,fire_ems,7120 Example Ave,Los Angeles,34.440776,-117.810789,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
42,Fallback Fire/EMS Station 042,fire_ems,2440 Example Ave,Pasadena,33.82391,-117.935178,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
43,Fallback Fire/EMS Station 043,fire_ems,1403 Example Ave,Torrance,34.095897,-118.586665,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
44,Fallback Fire/EMS Station 044,fire_ems,7230 Example Ave,Pomona,34.216485,-118.390852,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
45,Fallback Fire/EMS Station 045,fire_ems,3264 Example Ave,Burbank,33.716264,-118.30237,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
46,Fallback Fire/EMS Station 046,fire_ems,9101 Example Ave,Pomona,34.089745,-118.052739,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
47,Fallback Fire/EMS Station 047,fire_ems,9625 Example Ave,Whittier,34.360554,-118.255478,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
48,Fallback Fire/EMS Station 048,fire_ems,8423 Example Ave,Pomona,34.276142,-118.436375,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
49,Fallback Fire/EMS Station 049,fire_ems,4421 Example Ave,Pasadena,34.388396,-118.431908,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
50,Fallback Fire/EMS Station 050,fire_ems,1626 Example Ave,Santa Monica,33.743449,-118.671195,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
51,Fallback Fire/EMS Station 051,fire_ems,6957 Example Ave,Torrance,33.814079,-117.974596,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
52,Fallback Fire/EMS Station 052,fire_ems,2426 Example Ave,Glendale,34.320891,-118.402455,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
53,Fallback Fire/EMS Station 053,fire_ems,4977 Example Ave,Pasadena,34.465962,-117.783245,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
54,Fallback Fire/EMS Station 054,fire_ems,8651 Example Ave,Whittier,34.005142,-118.071671,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
55,Fallback Fire/EMS Station 055,fire_ems,366 Example Ave,Santa Monica,33.930754,-118.359338,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
56,Fallback Fire/EMS Station 056,fire_ems,2532 Example Ave,Burbank,34.363386,-118.300906,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
57,Fallback Fire/EMS Station 057,fire_ems,1871 Example Ave,Burbank,33.964797,-117.861104,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
58,Fallback Fire/EMS Station 058,fire_ems,257 Example Ave,Santa Monica,34.269249,-118.304831,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
59,Fallback Fire/EMS Station 059,fire_ems,2032 Example Ave,Pomona,34.120313,-117.793448,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
60,Fallback Fire/EMS Station 060,fire_ems,8001 Example Ave,Lancaster,34.417656,-117.935995,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
61,Fallback Fire/EMS Station 061,fire_ems,3127 Example Ave,Glendale,33.815414,-118.178546,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
62,Fallback Fire/EMS Station 062,fire_ems,1752 Example Ave,Pomona,34.48257,-118.404945,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
63,Fallback Fire/EMS Station 063,fire_ems,4316 Example Ave,Los Angeles,34.504146,-118.29133,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
64,Fallback Fire/EMS Station 064,fire_ems,8426 Example Ave,Los Angeles,34.120892,-117.827631,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
65,Fallback Fire/EMS Station 065,fire_ems,2806 Example Ave,Glendale,34.22794,-118.548794,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
66,Fallback Fire/EMS Station 066,fire_ems,4346 Example Ave,Glendale,34.418185,-118.584921,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
67,Fallback Fire/EMS Station 067,fire_ems,1405 Example Ave,Pasadena,34.097315,-118.325237,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
68,Fallback Fire/EMS Station 068,fire_ems,248 Example Ave,Los Angeles,33.7574,-118.162736,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
69,Fallback Fire/EMS Station 069,fire_ems,6170 Example Ave,Burbank,34.07704,-118.371457,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
70,Fallback Fire/EMS Station 070,fire_ems,9212 Example Ave,Burbank,33.833821,-118.469088,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
71,Fallback Fire/EMS Station 071,fire_ems,2014 Example Ave,Long Beach,33.70512,-118.310974,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
72,Fallback Fire/EMS Station 072,fire_ems,6364 Example Ave,Burbank,34.425885,-117.949297,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
73,Fallback Fire/EMS Station 073,fire_ems,2882 Example Ave,Los Angeles,34.102922,-118.114179,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
74,Fallback Fire/EMS Station 074,fire_ems,8032 Example Ave,Pasadena,34.021918,-117.91665,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
75,Fallback Fire/EMS Station 075,fire_ems,2407 Example Ave,Glendale,34.062142,-117.992767,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
76,Fallback Fire/EMS Station 076,fire_ems,5947 Example Ave,Los Angeles,34.256065,-118.370721,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
77,Fallback Fire/EMS Station 077,fire_ems,3397 Example Ave,Long Beach,33.98607,-118.087807,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
78,Fallback Fire/EMS Station 078,fire_ems,2235 Example Ave,Pomona,34.097732,-118.182074,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
79,Fallback Fire/EMS Station 079,fire_ems,575 Example Ave,Santa Monica,34.260602,-118.375041,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
80,Fallback Fire/EMS Station 080,fire_ems,4809 Example Ave,Lancaster,34.465559,-118.368581,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
81,Fallback Fire/EMS Station 081,fire_ems,9722 Example Ave,Burbank,34.300215,-118.040496,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
82,Fallback Fire/EMS Station 082,fire_ems,868 Example Ave,Whittier,34.310689,-118.401901,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
83,Fallback Fire/EMS Station 083,fire_ems,7774 Example Ave,Pasadena,33.871139,-118.322709,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
84,Fallback Fire/EMS Station 084,fire_ems,1418 Example Ave,Pasadena,34.329586,-118.401603,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
85,Fallback Fire/EMS Station 085,fire_ems,1862 Example Ave,Los Angeles,34.281629,-118.334214,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
86,Fallback Fire/EMS Station 086,fire_ems,2084 Example Ave,Los Angeles,33.742108,-118.526726,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
87,Fallback Fire/EMS Station 087,fire_ems,6198 Example Ave,Pasadena,33.803276,-117.918986,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
88,Fallback Fire/EMS Station 088,fire_ems,9125 Example Ave,Los Angeles,34.404143,-118.005441,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
89,Fallback Fire/EMS Station 089,fire_ems,297 Example Ave,Burbank,34.184279,-118.326827,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
90,Fallback Fire/EMS Station 090,fire_ems,1698 Example Ave,Burbank,34.49585,-118.282564,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
91,Fallback Fire/EMS Station 091,fire_ems,5978 Example Ave,Los Angeles,33.887559,-117.941264,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
92,Fallback Fire/EMS Station 092,fire_ems,3931 Example Ave,Long Beach,33.90195,-118.547668,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
93,Fallback Fire/EMS Station 093,fire_ems,3006 Example Ave,Glendale,34.496321,-118.293594,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
94,Fallback Fire/EMS Station 094,fire_ems,1820 Example Ave,Lancaster,34.385721,-118.378036,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
95,Fallback Fire/EMS Station 095,fire_ems,6761 Example Ave,Torrance,34.104276,-117.78993,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
96,Fallback Fire/EMS Station 096,fire_ems,862 Example Ave,Los Angeles,33.917289,-117.848571,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
97,Fallback Fire/EMS Station 097,fire_ems,5151 Example Ave,Lancaster,33.705605,-118.191093,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
98,Fallback Fire/EMS Station 098,fire_ems,7820 Example Ave,Santa Monica,33.992705,-118.564219,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
99,Fallback Fire/EMS Station 099,fire_ems,2479 Example Ave,Long Beach,34.274163,-118.028071,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
100,Fallback Fire/EMS Station 100,fire_ems,4257 Example Ave,Santa Monica,34.444309,-118.103693,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
101,Fallback Fire/EMS Station 101,fire_ems,1776 Example Ave,Whittier,33.77352,-118.387822,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
102,Fallback Fire/EMS Station 102,fire_ems,4839 Example Ave,Pasadena,34.246342,-117.843181,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
103,Fallback Fire/EMS Station 103,fire_ems,6972 Example Ave,Pasadena,34.092471,-118.325194,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
104,Fallback Fire/EMS Station 104,fire_ems,5132 Example Ave,Whittier,34.236628,-117.881707,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
105,Fallback Fire/EMS Station 105,fire_ems,2944 Example Ave,Santa Monica,33.849267,-118.396318,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
106,Fallback Fire/EMS Station 106,fire_ems,7852 Example Ave,Pasadena,34.411959,-118.545554,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
107,Fallback Fire/EMS Station 107,fire_ems,2744 Example Ave,Long Beach,34.411417,-117.963478,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
108,Fallback Fire/EMS Station 108,fire_ems,7262 Example Ave,Long Beach,34.246332,-118.717553,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
109,Fallback Fire/EMS Station 109,fire_ems,5771 Example Ave,Lancaster,33.889636,-118.068143,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
110,Fallback Fire/EMS Station 110,fire_ems,6779 Example Ave,Los Angeles,33.756405,-118.611194,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
111,Fallback Fire/EMS Station 111,fire_ems,2858 Example Ave,Pomona,34.349581,-118.334778,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
112,Fallback Fire/EMS Station 112,fire_ems,554 Example Ave,Long Beach,34.336442,-118.5122,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
113,Fallback Fire/EMS Station 113,fire_ems,7060 Example Ave,Long Beach,34.459108,-118.593626,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
114,Fallback Fire/EMS Station 114,fire_ems,5841 Example Ave,Pomona,33.747498,-117.945642,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
115,Fallback Fire/EMS Station 115,fire_ems,7565 Example Ave,Pomona,33.805118,-118.221634,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
116,Fallback Fire/EMS Station 116,fire_ems,6305 Example Ave,Pomona,34.325116,-118.16479,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
117,Fallback Fire/EMS Station 117,fire_ems,2040 Example Ave,Whittier,34.147846,-117.9028,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
118,Fallback Fire/EMS Station 118,fire_ems,3452 Example Ave,Long Beach,33.730384,-118.713672,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
119,Fallback Fire/EMS Station 119,fire_ems,765 Example Ave,Whittier,34.104518,-118.389135,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
120,Fallback Fire/EMS Station 120,fire_ems,3682 Example Ave,Whittier,34.170699,-118.235823,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
121,Fallback Fire/EMS Station 121,fire_ems,6378 Example Ave,Whittier,34.373497,-117.809975,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
122,Fallback Fire/EMS Station 122,fire_ems,2486 Example Ave,Long Beach,33.789567,-118.069226,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
123,Fallback Fire/EMS Station 123,fire_ems,1199 Example Ave,Long Beach,33.730854,-118.631734,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
124,Fallback Fire/EMS Station 124,fire_ems,1931 Example Ave,Long Beach,33.831889,-118.467647,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
125,Fallback Fire/EMS Station 125,fire_ems,603 Example Ave,Burbank,34.122969,-117.993779,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
126,Fallback Fire/EMS Station 126,fire_ems,2333 Example Ave,Lancaster,34.046991,-118.311766,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
127,Fallback Fire/EMS Station 127,fire_ems,9893 Example Ave,Lancaster,34.492625,-118.699931,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
128,Fallback Fire/EMS Station 128,fire_ems,1968 Example Ave,Los Angeles,33.757085,-118.079623,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
129,Fallback Fire/EMS Station 129,fire_ems,3841 Example Ave,Lancaster,34.298598,-118.515838,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
130,Fallback Fire/EMS Station 130,fire_ems,9769 Example Ave,Lancaster,33.974853,-117.944491,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
131,Fallback Fire/EMS Station 131,fire_ems,7629 Example Ave,Pasadena,34.549018,-117.794344,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
132,Fallback Fire/EMS Station 132,fire_ems,6581 Example Ave,Santa Monica,34.176244,-117.820943,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
133,Fallback Fire/EMS Station 133,fire_ems,9826 Example Ave,Pasadena,34.312043,-117.881266,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
134,Fallback Fire/EMS Station 134,fire_ems,4596 Example Ave,Santa Monica,33.890552,-117.847238,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
135,Fallback Fire/EMS Station 135,fire_ems,8882 Example Ave,Pomona,34.265305,-117.862833,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
136,Fallback Fire/EMS Station 136,fire_ems,4905 Example Ave,Glendale,34.050074,-118.278988,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
137,Fallback Fire/EMS Station 137,fire_ems,3461 Example Ave,Pasadena,33.713507,-118.474732,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
138,Fallback Fire/EMS Station 138,fire_ems,255 Example Ave,Lancaster,33.857301,-118.427244,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
139,Fallback Fire/EMS Station 139,fire_ems,8196 Example Ave,Whittier,34.149738,-118.693064,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
140,Fallback Fire/EMS Station 140,fire_ems,4994 Example Ave,Santa Monica,33.860075,-118.239337,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
141,Fallback Fire/EMS Station 141,fire_ems,9375 Example Ave,Whittier,34.507243,-117.872776,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
142,Fallback Fire/EMS Station 142,fire_ems,2507 Example Ave,Los Angeles,33.889201,-118.43931,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
143,Fallback Fire/EMS Station 143,fire_ems,6668 Example Ave,Glendale,33.892491,-117.867008,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
144,Fallback Fire/EMS Station 144,fire_ems,5696 Example Ave,Whittier,34.442677,-118.673441,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
145,Fallback Fire/EMS Station 145,fire_ems,3146 Example Ave,Santa Monica,33.816084,-117.764514,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
146,Fallback Fire/EMS Station 146,fire_ems,9014 Example Ave,Pomona,34.16002,-118.688764,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
147,Fallback Fire/EMS Station 147,fire_ems,5012 Example Ave,Torrance,33.954348,-118.049819,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
148,Fallback Fire/EMS Station 148,fire_ems,955 Example Ave,Burbank,34.374704,-118.659495,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
149,Fallback Fire/EMS Station 149,fire_ems,7180 Example Ave,Los Angeles,34.403895,-117.98261,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
150,Fallback Fire/EMS Station 150,fire_ems,6145 Example Ave,Los Angeles,33.855702,-118.361964,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
151,Fallback Fire/EMS Station 151,fire_ems,6078 Example Ave,Pomona,34.220367,-118.177695,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
152,Fallback Fire/EMS Station 152,fire_ems,8762 Example Ave,Los Angeles,34.05142,-118.559634,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
153,Fallback Fire/EMS Station 153,fire_ems,9923 Example Ave,Los Angeles,34.434208,-118.225014,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
154,Fallback Fire/EMS Station 154,fire_ems,8056 Example Ave,Los Angeles,34.319765,-118.094658,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
155,Fallback Fire/EMS Station 155,fire_ems,8643 Example Ave,Pomona,34.032622,-117.793055,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
156,Fallback Fire/EMS Station 156,fire_ems,9802 Example Ave,Whittier,34.534182,-118.390177,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
157,Fallback Fire/EMS Station 157,fire_ems,5640 Example Ave,Glendale,33.708875,-117.877569,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
158,Fallback Fire/EMS Station 158,fire_ems,3106 Example Ave,Burbank,34.119058,-118.051147,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
159,Fallback Fire/EMS Station 159,fire_ems,5368 Example Ave,Burbank,34.494952,-118.581375,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
160,Fallback Fire/EMS Station 160,fire_ems,1457 Example Ave,Los Angeles,34.233612,-118.097055,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
161,Fallback Fire/EMS Station 161,fire_ems,7092 Example Ave,Torrance,33.772727,-118.643926,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
162,Fallback Fire/EMS Station 162,fire_ems,339 Example Ave,Long Beach,34.449815,-118.225707,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
163,Fallback Fire/EMS Station 163,fire_ems,6144 Example Ave,Whittier,33.964785,-117.89935,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
164,Fallback Fire/EMS Station 164,fire_ems,4335 Example Ave,Long Beach,33.79661,-117.770979,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
165,Fallback Fire/EMS Station 165,fire_ems,4086 Example Ave,Glendale,34.497628,-117.768916,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
166,Fallback Fire/EMS Station 166,fire_ems,2871 Example Ave,Long Beach,33.951251,-118.100591,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
167,Fallback Fire/EMS Station 167,fire_ems,269 Example Ave,Lancaster,34.316746,-118.268906,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
168,Fallback Fire/EMS Station 168,fire_ems,2832 Example Ave,Los Angeles,34.447012,-117.854897,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
